date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,7.57,8.13,7.44,7.18,162097.33,0.0,0.0,7.938,8.939,10.303,245111.24,280788.46,294582.42,3.89
2017-05-26,8.1,8.18,7.44,7.19,247146.14,-0.74,-9.05,8.292,9.349,10.572,243431.07,309574.79,321185.56,5.94
2017-05-19,7.77,8.69,8.18,7.42,423672.25,0.4,5.14,8.74,9.733,10.849,229856.56,310442.38,335161.94,10.18
2017-05-12,8.76,8.87,7.78,7.23,252026.17,-1.07,-12.09,9.118,10.024,11.028,239834.64,294488.6,332996.65,6.05
2017-05-05,9.18,9.21,8.85,8.81,140614.33,-0.36,-3.91,9.712,10.386,11.198,269166.02,300380.89,337119.76,3.38
2017-04-28,9.68,9.74,9.21,8.88,153696.45,-0.47,-4.86,9.94,10.689,11.337,316465.68,320196.47,353369.74,3.69
2017-04-21,10.07,10.21,9.68,9.48,179273.59,-0.39,-3.87,10.406,10.97,11.504,375718.51,340110.43,361838.04,4.31
2017-04-14,10.73,11.49,10.07,10.04,473562.66,-0.68,-6.33,10.726,11.198,11.661,391028.2,352244.3,376602.77,11.38
2017-04-07,10.41,11.14,10.75,10.05,398683.06,0.76,7.61,10.93,11.39,11.819,349142.57,307800.14,396792.67,9.58
2017-03-31,11.45,11.53,9.99,9.83,377112.66,-1.55,-13.43,11.06,11.517,11.903,331595.77,296741.16,412725.39,9.06
2017-03-24,11.25,11.95,11.54,11.24,449960.59,0.26,2.31,11.438,11.667,12.086,323927.26,308376.37,429793.43,10.81
2017-03-17,11.07,11.64,11.28,11.01,255822.02,0.19,1.71,11.534,11.794,12.207,304502.35,332796.34,472003.33,6.15
2017-03-10,11.44,11.46,11.09,11.05,264134.5,-0.31,-2.72,11.67,11.964,12.242,313460.39,359881.51,504861.07,6.35
2017-03-03,11.96,11.96,11.4,11.39,310949.09,-0.48,-4.04,11.85,12.032,12.265,266457.71,371504.69,603702.77,7.47
2017-02-24,11.97,11.99,11.88,11.5,338770.12,-0.14,-1.17,11.974,12.01,12.247,261886.56,373858.62,629728.45,8.14
2017-02-17,11.97,12.62,12.02,11.8,352836.0,0.06,0.5,11.896,11.985,12.154,292825.48,386543.0,618786.78,8.48
2017-02-10,11.97,12.12,11.96,11.7,300612.25,-0.03,-0.25,12.054,12.037,12.058,361090.33,383565.66,653795.73,7.22
2017-02-03,12.08,12.13,11.99,11.83,29121.11,-0.03,-0.25,12.258,12.123,11.933,406302.63,400961.24,676485.86,0.7
2017-01-26,11.48,12.34,12.02,11.48,288093.31,0.53,4.61,12.214,12.248,11.771,476551.67,485785.2,699706.74,6.92
2017-01-20,12.83,12.95,11.49,11.1,493464.72,-1.32,-10.3,12.046,12.289,11.604,485830.67,528709.61,721687.97,11.85
2017-01-13,12.86,13.48,12.81,12.09,694160.25,-0.17,-1.31,12.074,12.504,11.528,480260.52,551210.5,742644.66,16.68
2017-01-06,11.81,13.48,12.98,11.81,526673.75,1.21,10.28,12.02,12.62,11.336,406040.99,611210.32,721257.23,12.65
2016-12-30,11.3,12.14,11.77,10.88,380366.34,0.59,5.28,11.988,12.519,11.123,395619.85,649840.63,710243.62,9.14
2016-12-23,11.63,11.76,11.18,11.04,334488.31,-0.45,-3.87,12.282,12.498,10.949,495018.72,835900.85,705340.35,8.04
2016-12-16,12.65,12.65,11.63,10.22,465613.97,-0.91,-7.26,12.532,12.483,10.79,571588.54,885598.29,705448.92,11.19
2016-12-09,12.3,12.72,12.54,12.03,323062.56,-0.28,-2.18,12.934,12.323,10.596,622160.47,851030.55,708166.76,7.76
2016-12-02,13.35,13.65,12.82,12.71,474568.09,-0.42,-3.17,13.22,12.078,10.419,816379.66,924025.79,710011.49,11.4
2016-11-25,12.32,13.44,13.24,12.1,877360.69,0.81,6.52,13.05,11.742,10.232,904061.41,952010.49,708040.63,21.08
2016-11-18,13.56,13.75,12.43,12.25,717337.38,-1.21,-8.87,12.714,11.293,10.004,1176782.98,913628.29,694435.88,17.23
2016-11-11,14.05,14.4,13.64,13.5,718473.62,-0.33,-2.36,12.434,10.919,9.845,1199608.04,914666.34,679686.44,17.26
2016-11-04,11.97,14.58,13.97,11.82,1294158.5,2.0,16.71,11.712,10.551,9.6,1079900.63,934078.83,675890.42,31.09
2016-10-28,11.5,12.27,11.97,11.36,912976.88,0.41,3.55,10.936,10.052,9.33,1031671.93,831304.14,648656.57,21.93
2016-10-21,10.98,12.29,11.56,10.41,2240968.5,0.53,4.8,10.434,9.726,9.116,999959.56,770646.6,624605.46,53.83
2016-10-14,10.93,11.03,11.03,10.4,831462.69,1.0,9.97,9.872,9.4,8.917,650473.6,574779.86,532940.2,19.97
2016-07-18,9.98,10.15,10.03,9.95,119936.59,-0.06,-0.59,9.404,9.097,8.702,629724.64,525299.56,506938.17,2.88
2016-07-15,9.4,10.69,10.09,9.17,1053015.0,0.63,6.66,9.39,8.869,8.537,788257.02,565302.96,521135.73,25.3
2016-07-08,8.63,9.51,9.46,8.62,754415.0,0.71,8.11,9.168,8.76,8.373,630936.34,495997.19,490967.87,18.12
2016-07-01,8.57,8.96,8.75,8.54,493538.72,0.06,0.69,9.018,8.722,8.269,541333.64,464070.78,470724.7,11.86
2016-06-24,9.7,9.87,8.69,8.41,727717.88,-1.27,-12.75,8.928,8.714,8.178,499086.12,475243.48,463944.86,17.48
2016-06-17,8.9,10.32,9.96,8.82,912598.5,0.98,10.91,8.79,8.77,8.072,420874.47,444706.54,446026.39,21.92
2016-06-08,8.68,9.05,8.98,8.58,266411.62,0.27,3.1,8.348,8.648,7.933,342348.91,417702.01,424192.9,6.4
2016-06-03,8.25,8.71,8.71,8.1,306401.47,0.41,4.94,8.352,8.608,7.833,361058.03,466009.0,442498.95,7.36
2016-05-27,7.98,8.35,8.3,7.9,282301.12,0.3,3.75,8.426,8.505,7.845,386807.91,478564.33,465670.37,6.78
2016-05-20,7.73,8.14,8.0,7.6,336659.66,0.25,3.23,8.5,8.433,7.989,451400.84,491100.54,487472.87,8.09
2016-05-13,8.8,8.85,7.75,7.3,519970.66,-1.25,-13.89,8.75,8.307,8.107,468538.6,488576.79,513868.26,12.49
2016-05-06,9.15,9.39,9.0,8.98,359957.25,-0.08,-0.88,8.948,8.205,8.217,493055.11,476968.49,530599.04,8.65
2016-04-29,8.6,9.33,9.08,8.45,435150.88,0.41,4.73,8.864,7.986,8.28,570959.96,485938.56,586398.75,10.45
2016-04-22,9.19,9.68,8.67,8.36,605265.75,-0.58,-6.27,8.584,7.816,8.283,570320.75,477378.63,595614.62,14.54
2016-04-15,8.85,9.27,9.25,8.71,422348.44,0.51,5.83,8.366,7.642,8.283,530800.25,452646.23,612024.36,10.15
2016-04-08,8.64,9.35,8.74,8.4,642553.25,0.16,1.86,7.864,7.373,8.268,508614.97,447346.24,634161.28,15.44
2016-04-01,7.68,8.8,8.58,7.68,749481.5,0.9,11.72,7.462,7.218,8.258,460881.86,430683.8,655547.66,18.0
2016-03-25,7.61,7.78,7.68,7.37,431954.81,0.1,1.32,7.108,7.058,8.268,400917.15,418988.9,664091.39,10.38
2016-03-18,6.88,7.6,7.58,6.85,407663.25,0.84,12.46,7.048,7.185,8.304,384436.5,452776.41,700510.85,9.79
2016-03-11,6.73,7.24,6.74,6.65,311422.06,0.01,0.15,6.918,7.545,8.337,374492.21,483845.19,734451.76,7.48
2016-03-04,6.77,7.04,6.73,6.15,403887.69,-0.08,-1.18,6.882,7.907,8.416,386077.51,539159.73,790647.74,9.7
2016-02-26,7.38,7.7,6.81,6.56,449657.94,-0.57,-7.72,6.974,8.229,8.435,400485.73,584229.59,783135.48,10.8
2016-02-19,6.71,7.45,7.38,6.61,349551.56,0.45,6.49,7.008,8.574,8.434,437060.64,686858.93,772808.71,8.4
2016-02-05,6.53,7.08,6.93,6.38,357941.81,0.37,5.64,7.322,8.749,8.397,521116.32,713850.61,795612.11,8.6
2016-01-29,7.29,7.36,6.56,6.09,369348.53,-0.63,-8.76,8.172,8.923,8.384,593198.17,771402.49,827721.07,8.87
2016-01-22,6.63,7.69,7.19,6.63,475928.81,0.21,3.01,8.932,9.163,8.415,692241.96,820976.33,858361.64,11.43
2016-01-15,8.82,8.82,6.98,6.42,632532.5,-1.97,-22.01,9.484,9.297,8.356,767973.45,880411.53,865794.96,15.2
2016-01-08,11.29,11.35,8.95,8.1,769829.94,-2.23,-19.95,10.14,9.477,8.38,936657.23,909193.88,899405.57,18.49
2015-12-31,10.52,11.57,11.18,10.0,718351.06,0.82,7.92,10.176,9.423,8.367,906584.9,948245.29,952745.6,17.26
2015-12-25,9.9,11.16,10.36,9.84,864567.5,0.41,4.12,9.674,9.129,8.35,949606.81,985058.33,1046824.22,20.77
2015-12-18,10.08,10.6,9.95,9.88,854586.25,-0.31,-3.02,9.394,8.924,8.275,949710.69,1042135.74,1053395.96,20.53
2015-12-11,9.12,10.42,10.26,9.01,1475951.38,1.13,12.38,9.11,8.64,8.186,992849.61,982041.38,1075441.88,35.46
2015-12-04,8.66,9.25,9.13,8.13,619468.31,0.46,5.31,8.814,8.293,8.151,881730.54,858758.48,1105937.75,14.88
2015-11-27,9.0,9.69,8.67,8.6,933460.62,-0.29,-3.24,8.67,8.045,8.112,989905.68,877373.61,1150939.93,22.42
2015-11-20,8.41,9.27,8.96,8.36,865086.88,0.43,5.04,8.584,7.844,7.979,1020509.85,884039.65,1131205.99,20.78
2015-11-13,8.68,9.05,8.53,8.3,1070280.88,-0.25,-2.85,8.454,7.666,7.944,1134560.8,895746.96,1143909.16,25.71
2015-11-06,8.21,8.91,8.78,7.84,920356.0,0.37,4.4,8.17,7.414,8.132,971233.14,851178.39,1123804.63,22.11
2015-10-30,8.34,8.96,8.41,7.74,1160344.0,0.17,2.06,7.772,7.283,8.457,835786.42,889617.25,1119220.17,27.87
2015-10-23,8.28,8.48,8.24,7.55,1086481.5,-0.07,-0.84,7.42,7.311,8.938,764841.54,957245.91,1114153.07,26.1
2015-10-16,7.12,8.45,8.31,7.1,1435341.62,1.2,16.88,7.104,7.57,9.423,747569.44,1108590.11,1137116.82,34.48
2015-10-09,7.1,7.18,7.11,6.96,253642.58,0.32,4.71,6.878,7.626,9.72,656933.12,1064656.18,1158909.81,6.09
2015-09-30,6.66,6.97,6.79,6.47,243122.39,0.14,2.1,6.658,7.732,10.06,731123.64,1168842.38,1245365.16,5.84
2015-09-25,6.55,7.45,6.65,6.4,805619.62,-0.01,-0.15,6.794,8.008,10.287,943448.09,1353117.02,1319267.26,19.35
2015-09-18,7.29,7.49,6.66,5.88,1000121.0,-0.52,-7.24,7.202,8.178,10.484,1149650.29,1424506.24,1357199.0,24.03
2015-09-11,6.29,7.49,7.18,6.15,982160.0,1.17,19.47,8.036,8.114,10.739,1469610.79,1378372.33,1413724.46,23.59
2015-09-02,7.44,7.45,6.01,5.9,624595.19,-1.46,-19.55,8.374,8.221,10.931,1472379.24,1392071.37,1572668.34,15.0
2015-08-28,8.05,8.25,7.47,6.02,1304744.62,-1.22,-14.04,8.806,8.85,11.073,1606561.12,1396430.88,1614347.41,31.34
2015-08-21,10.51,11.91,8.69,8.69,1836630.62,-2.14,-19.76,9.222,9.631,11.138,1762785.95,1348823.08,1602994.7,44.12
2015-08-14,9.35,10.99,10.83,8.89,2599923.5,1.96,22.1,9.154,10.565,11.136,1699362.2,1271060.23,1564840.18,62.46
2015-08-07,8.1,8.87,8.87,7.37,996002.25,0.7,8.57,8.192,11.275,11.009,1287133.88,1165643.53,1519578.72,23.93
2015-07-31,9.3,9.79,8.17,7.6,1295504.62,-1.38,-14.45,8.068,11.814,10.952,1311763.5,1253163.44,1530411.44,31.12
2015-07-24,8.23,10.19,9.55,8.03,2085868.75,1.2,14.37,8.894,12.387,10.907,1186300.63,1321887.94,1512140.63,50.11
2015-07-17,6.62,8.35,8.35,6.62,1519511.88,2.33,38.7,10.04,12.566,10.763,934860.22,1285417.51,1445972.39,36.5
2015-07-08,8.9,8.91,6.02,6.02,538781.88,-2.23,-27.03,11.976,12.79,10.693,842758.26,1289891.76,1393796.05,12.94
2015-07-03,12.6,12.74,8.25,8.25,1119150.38,-4.05,-32.93,14.358,13.363,10.728,1044153.19,1449076.6,1386467.84,26.89
2015-06-26,14.82,15.49,12.3,12.3,668190.25,-2.98,-19.5,15.56,13.64,10.654,1194563.39,1753265.31,1401277.83,16.05
