date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-31,7.57,8.13,7.76,7.54,69503.18,0.32,4.3,7.466,7.809,8.065,52501.26,70881.56,56648.1,1.67
2017-05-26,7.45,7.52,7.44,7.39,35224.4,-0.03,-0.4,7.48,7.801,8.138,49429.23,67081.84,54228.87,0.85
2017-05-25,7.37,7.5,7.47,7.26,50512.86,0.1,1.36,7.628,7.835,8.228,57130.51,66254.87,54481.45,1.21
2017-05-24,7.33,7.49,7.37,7.19,35034.48,0.08,1.1,7.8,7.866,8.322,68317.04,67586.13,53317.84,0.84
2017-05-23,7.89,7.9,7.29,7.19,72231.4,-0.54,-6.9,8.046,7.913,8.417,96731.47,67186.83,53067.32,1.74
2017-05-22,8.1,8.18,7.83,7.74,54143.01,-0.35,-4.28,8.152,7.985,8.519,89261.85,67022.02,51207.61,1.3
2017-05-19,8.54,8.54,8.18,8.11,73730.79,-0.15,-1.8,8.122,8.03,8.611,84734.45,67569.84,49748.61,1.77
2017-05-18,8.57,8.69,8.33,8.24,106445.52,-0.27,-3.14,8.042,8.097,8.683,75379.24,62973.12,47460.01,2.56
2017-05-17,7.8,8.6,8.6,7.73,177106.62,0.78,9.97,7.932,8.164,8.75,66855.21,56622.11,45065.55,4.25
2017-05-16,7.68,7.84,7.82,7.42,34883.3,0.14,1.82,7.78,8.204,8.817,37642.19,42068.61,37670.16,0.84
2017-05-15,7.77,7.94,7.68,7.66,31506.01,-0.1,-1.28,7.818,8.321,8.928,44782.19,42414.65,37855.83,0.76
2017-05-12,7.77,7.83,7.78,7.64,26954.74,0.0,0.0,7.938,8.474,9.048,50405.24,41375.9,40390.71,0.65
2017-05-11,7.84,7.84,7.78,7.23,63825.38,-0.06,-0.77,8.152,8.621,9.192,50566.99,42708.02,41369.17,1.53
2017-05-10,8.02,8.06,7.84,7.82,31041.5,-0.17,-2.12,8.396,8.777,9.327,46389.02,39049.56,42573.19,0.75
2017-05-09,8.29,8.3,8.01,7.79,70583.31,-0.27,-3.26,8.628,8.92,9.49,46495.03,38947.82,47317.33,1.7
2017-05-08,8.76,8.87,8.28,8.11,59621.25,-0.57,-6.44,8.824,9.052,9.635,40047.12,35393.2,50338.42,1.43
