date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,6.25,6.49,6.44,5.93,640150.5,0.16,2.55,6.25,6.331,6.598,2374442.5,1885079.84,2272319.38,3.93
2017-05-31,6.06,6.57,6.28,5.34,3163178.5,0.2,3.29,6.2,6.339,6.637,2430728.3,1964091.21,2450601.61,19.4
2017-04-28,6.6,7.6,6.08,5.84,5551635.0,-0.05,-0.82,6.196,6.352,6.631,2065872.85,1886536.51,2443246.32,34.04
2017-03-31,6.31,6.34,6.13,6.05,1170782.0,-0.19,-3.01,6.3,6.365,6.654,1415208.95,1447205.77,2535891.49,8.49
2017-02-28,6.19,6.47,6.32,6.15,1346466.5,0.13,2.1,6.402,6.393,6.803,1428531.97,1441336.96,3061098.79,9.77
2017-01-26,6.28,6.4,6.19,5.98,921579.5,-0.07,-1.12,6.412,6.422,7.094,1395717.17,1508768.4,3652483.17,6.69
2016-12-30,6.62,6.67,6.26,6.09,1338901.25,-0.34,-5.15,6.478,6.528,7.309,1497454.12,1707735.35,4217737.49,9.71
2016-11-30,6.66,6.97,6.6,6.58,2298315.5,-0.04,-0.6,6.508,6.533,7.457,1707200.17,1716926.74,4950467.58,16.67
2016-10-31,6.53,6.8,6.64,6.51,1237397.12,0.27,4.24,6.43,6.558,7.52,1479202.6,1779618.69,5553962.91,8.98
2016-09-30,6.53,6.84,6.37,6.27,1182392.5,-0.15,-2.3,6.384,6.755,7.501,1454141.95,2181649.78,5634419.11,8.58
2016-08-31,6.4,6.85,6.52,6.25,1430264.25,0.11,1.72,6.432,6.864,7.49,1621819.63,2659558.92,5862886.21,10.37
2016-07-29,6.21,6.87,6.41,6.17,2387631.5,0.2,3.22,6.578,6.934,7.474,1918016.58,2937112.0,6203254.25,17.32
2016-06-30,6.42,6.5,6.21,5.98,1158327.62,-0.2,-3.12,6.558,6.909,7.486,1726653.3,2999956.13,6292909.88,8.4
2016-05-31,6.69,6.9,6.41,6.12,1112093.88,-0.2,-3.03,6.686,6.942,7.524,2080034.78,3624577.21,6617954.42,8.07
2016-04-29,7.2,7.46,6.61,6.41,2020780.88,-0.64,-8.83,7.126,7.212,7.51,2909157.6,4680860.63,6851509.85,14.66
2016-03-31,6.32,7.69,7.25,6.07,2911249.0,0.94,14.9,7.296,7.765,7.445,3697298.22,5796197.94,6934417.38,21.12
2016-02-29,6.88,7.41,6.31,6.2,1430815.12,-0.54,-7.88,7.29,8.089,7.353,3956207.42,6727739.64,6962677.27,10.38
2016-01-29,8.55,8.65,6.85,6.1,2925235.0,-1.76,-20.44,7.26,8.381,7.283,4273258.95,8184008.43,6983026.93,21.22
2015-12-31,7.46,9.52,8.61,7.18,5257708.0,1.15,15.42,7.198,8.482,7.17,5169119.65,9328307.13,6913760.39,38.14
2015-11-30,7.1,8.9,7.46,6.85,5961484.0,0.24,3.32,7.298,8.246,6.975,6452563.65,9087188.45,6792616.26,43.24
2015-10-30,6.41,7.85,7.22,6.3,4205795.0,1.06,17.21,8.234,8.116,6.853,7895097.65,9066213.5,6700729.45,30.51
2015-09-30,6.54,6.62,6.16,5.31,3016072.75,-0.38,-5.81,8.888,8.013,6.731,9499271.85,9469396.5,6626014.26,29.32
2015-08-31,8.99,11.13,6.54,5.81,7404538.5,-2.57,-28.21,9.502,8.062,6.665,12094757.9,9585863.63,6729832.38,71.99
2015-07-31,12.15,12.9,9.11,6.69,11674928.0,-3.03,-24.96,9.766,8.105,6.589,13487494.6,9611331.63,6569341.83,113.51
2015-06-30,11.0,13.0,12.14,10.12,13174154.0,1.65,15.73,9.194,7.808,6.377,11721813.25,9022159.07,6075232.73,128.08
2015-05-29,9.21,11.09,10.49,8.1,12226666.0,1.26,13.65,7.998,7.124,6.014,10237329.35,8072636.83,5544867.02,118.87
2015-04-30,7.87,10.13,9.23,7.87,15993503.0,1.37,17.43,7.138,6.617,5.752,9439521.15,7197614.9,5037622.29,155.49
2015-03-31,6.26,8.41,7.86,6.2,14368222.0,1.61,25.76,6.622,6.185,5.539,7076969.35,5782045.43,4334107.21,139.69
2015-02-27,6.1,6.29,6.25,5.84,2846521.25,0.09,1.46,6.444,5.858,5.398,5735168.65,4499213.65,3672090.0,27.67
2015-01-30,6.19,6.54,6.16,5.95,5751734.5,-0.03,-0.48,6.422,5.703,5.31,6322504.9,4498044.08,3598711.98,55.92
2014-12-31,6.65,7.47,6.19,6.05,8237625.0,-0.46,-6.92,6.25,5.589,5.3,5907944.3,4335245.4,3429492.98,80.09
2014-11-28,6.88,7.02,6.65,6.22,4180744.0,-0.32,-4.59,6.096,5.449,5.296,4955708.65,3782632.03,3152650.73,40.65
2014-10-31,6.2,7.83,6.97,6.13,7659218.5,0.83,13.52,5.748,5.268,5.268,4487121.5,3873801.13,3056200.98,74.46
2014-09-30,5.27,6.17,6.14,5.26,5783202.5,0.84,15.85,5.272,5.072,5.257,3263258.65,3527352.03,2776493.64,56.23
2014-08-29,5.42,5.67,5.3,5.14,3678931.5,-0.12,-2.21,4.984,4.946,5.269,2673583.25,3128306.39,2638542.52,35.77
2014-07-31,4.9,5.58,5.42,4.84,3476446.75,0.51,10.39,4.928,4.903,5.282,2762546.5,3017097.21,2553736.05,33.8
2014-06-30,4.59,5.02,4.91,4.51,1837808.25,0.32,6.97,4.802,4.886,5.25,2609555.4,2877629.69,2448701.76,17.87
2014-05-30,4.7,4.8,4.59,4.52,1539904.25,-0.11,-2.34,4.788,4.893,5.316,3260480.75,2886168.99,2431862.48,14.97
2014-04-30,5.0,5.24,4.7,4.65,2834825.5,-0.32,-6.38,4.872,4.937,5.387,3791445.4,2844966.35,2424997.66,27.56
