date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,10.69,10.69,10.49,10.02,358311.75,-0.2,-1.87,10.918,11.716,15.99,1560758.32,2140087.81,1761990.39,4.65
2017-05-31,10.76,11.8,10.69,10.55,1578837.62,-0.07,-0.65,11.212,11.705,16.606,2024561.07,2324293.19,1821922.36,20.48
2017-04-28,11.14,11.27,10.76,9.82,1567236.0,-0.26,-2.36,11.834,12.616,17.73,2305364.3,2324389.65,1842140.16,20.33
2017-03-31,11.66,12.2,11.02,10.02,2260999.5,-0.61,-5.25,12.158,13.478,18.653,2491024.55,2345973.7,1922614.16,29.32
2017-02-28,11.97,12.62,11.63,10.89,2038406.75,-0.33,-2.76,12.518,14.174,19.058,2521597.85,2191003.74,1989465.87,26.44
2017-01-26,13.78,14.13,11.96,11.23,2677325.5,-1.84,-13.33,12.514,15.179,19.123,2719417.3,2039418.1,1932212.9,34.72
2016-12-30,12.69,13.97,13.8,12.4,2982853.75,1.42,11.47,12.198,15.976,19.175,2624025.3,1893999.8,1863062.42,38.69
2016-11-30,12.81,13.45,12.38,11.96,2495537.25,-0.44,-3.43,13.398,17.284,18.984,2343415.0,1749919.98,1794818.49,32.37
2016-10-31,11.91,13.44,12.82,11.75,2413866.0,1.21,10.42,14.798,18.203,18.969,2200922.85,1660526.32,1704418.11,31.31
2016-09-30,10.4,11.98,11.61,10.25,3027504.0,1.23,11.85,15.83,19.204,18.981,1860409.64,1544186.76,1631150.18,39.27
2016-08-31,19.64,20.67,10.38,9.4,2200365.5,-9.42,-47.58,17.844,20.264,19.014,1359418.89,1383892.96,1588484.62,28.54
2016-07-29,19.37,20.67,19.8,18.88,1579802.25,0.42,2.17,19.754,21.506,18.973,1163974.29,1319551.53,1535957.3,40.98
2016-06-30,18.1,22.44,19.38,17.68,1783076.5,1.4,7.79,21.17,22.844,18.434,1156424.97,1359890.67,1484613.17,46.25
2016-05-31,20.0,20.6,17.98,17.22,711299.94,-3.7,-17.07,21.608,23.828,17.928,1120129.79,1499254.62,1433545.96,18.45
2016-02-19,20.29,21.98,21.68,18.01,522550.28,1.75,8.78,22.578,23.942,17.493,1227963.88,1787928.0,1480702.74,22.25
2016-01-29,26.94,27.1,19.93,19.01,1223142.5,-6.95,-25.86,22.684,23.066,16.876,1408367.02,1825007.7,1559032.82,52.09
2015-12-31,21.8,27.89,26.88,20.16,1542055.62,5.31,24.62,23.258,22.374,16.203,1475128.77,1832125.04,1508626.59,65.67
2015-11-30,22.71,25.5,21.57,20.0,1601600.62,-1.26,-5.52,24.518,20.684,15.199,1563356.37,1839716.99,1503241.87,68.2
2015-10-30,22.0,24.36,22.83,19.88,1250470.38,0.62,2.79,26.048,19.734,14.408,1878379.45,1748309.9,1459096.24,53.25
2015-07-27,22.92,26.5,22.21,17.39,1424566.0,-0.59,-2.59,25.306,18.757,13.575,2347892.12,1718113.61,1441855.18,60.66
2015-06-30,32.7,36.63,22.8,20.09,1556951.25,-10.38,-31.28,23.448,17.763,12.777,2241648.37,1793076.28,1463320.04,66.3
2015-05-29,29.8,37.2,33.18,28.0,1983193.62,3.96,13.55,21.49,16.439,11.919,2189121.3,1752363.06,1442670.25,84.45
2015-04-30,18.93,29.98,29.22,18.6,3176716.0,10.1,52.82,16.85,14.024,10.469,2116077.6,1609335.66,1364957.37,135.28
2015-03-31,14.2,21.0,19.12,13.72,3598033.75,6.2,47.99,13.42,12.028,9.264,1618240.35,1367837.31,1254362.2,153.22
2015-02-27,14.2,14.2,12.92,11.17,893347.25,-0.09,-0.69,12.208,11.044,8.518,1088335.09,1173477.47,1089006.71,38.04
2015-01-28,9.91,13.06,13.01,9.58,1294315.88,3.03,30.36,12.078,10.685,8.087,1344504.19,1293057.93,1068190.64,55.12
