date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,20.41,20.57,20.17,19.78,119015.96,-0.21,-1.03,20.182,20.938,20.823,154198.52,222212.16,208201.73,1.48
2017-05-26,19.86,20.57,20.38,19.54,164255.64,0.52,2.62,20.374,21.067,20.812,182184.19,253731.99,209334.89,2.04
2017-05-19,19.8,20.16,19.86,19.41,157534.02,0.07,0.35,20.73,21.104,20.793,212713.74,253293.53,208403.27,1.95
2017-05-12,20.8,20.92,19.79,19.45,204798.59,-0.92,-4.44,21.14,21.165,20.776,247169.21,253518.26,207242.82,2.54
2017-05-05,21.09,21.29,20.71,20.7,125388.38,-0.42,-1.99,21.51,21.252,20.775,243943.89,248692.0,205952.93,1.55
2017-04-28,22.09,22.18,21.13,20.52,258944.34,-1.03,-4.65,21.694,21.273,20.732,290225.8,253003.11,213663.27,3.21
2017-04-21,21.87,22.38,22.16,21.15,316903.38,0.25,1.14,21.76,21.231,20.724,325279.78,254026.83,213380.01,3.93
2017-04-14,21.55,22.3,21.91,21.17,329811.38,0.27,1.25,21.478,21.094,20.678,293873.32,240653.13,216135.64,4.09
2017-04-07,21.73,21.87,21.64,21.4,188671.97,0.01,0.05,21.19,20.932,20.653,259867.3,209204.69,213403.26,2.34
2017-03-31,21.49,21.88,21.63,21.24,356797.91,0.17,0.79,20.994,20.814,20.602,253440.12,199661.81,214182.35,4.42
2017-03-24,20.8,21.77,21.46,20.8,434214.28,0.71,3.42,20.852,20.707,20.556,215780.42,194191.31,206310.71,5.38
2017-03-17,20.45,20.98,20.75,20.31,159871.06,0.28,1.37,20.702,20.557,20.491,182773.88,164937.79,197578.76,1.98
2017-03-10,20.7,21.07,20.47,20.46,159781.27,-0.19,-0.92,20.71,20.481,20.507,187432.94,163513.01,199566.83,1.98
