date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/6/2,10.69,10.69,10.49,10.02,358311.75,-0.2,-1.87,10.918,11.716,15.99,1560758.32,2140087.81,1761990.39,4.65
2017/5/31,10.76,11.8,10.69,10.55,1578837.62,-0.07,-0.65,11.212,11.705,16.606,2024561.07,2324293.19,1821922.36,20.48
2017/4/28,11.14,11.27,10.76,9.82,1567236,-0.26,-2.36,11.834,12.616,17.73,2305364.3,2324389.65,1842140.16,20.33
2017/3/31,11.66,12.2,11.02,10.02,2260999.5,-0.61,-5.25,12.158,13.478,18.653,2491024.55,2345973.7,1922614.16,29.32
2017/2/28,11.97,12.62,11.63,10.89,2038406.75,-0.33,-2.76,12.518,14.174,19.058,2521597.85,2191003.74,1989465.87,26.44
2017/1/26,13.78,14.13,11.96,11.23,2677325.5,-1.84,-13.33,12.514,15.179,19.123,2719417.3,2039418.1,1932212.9,34.72
2016/12/30,12.69,13.97,13.8,12.4,2982853.75,1.42,11.47,12.198,15.976,19.175,2624025.3,1893999.8,1863062.42,38.69
2016/11/30,12.81,13.45,12.38,11.96,2495537.25,-0.44,-3.43,13.398,17.284,18.984,2343415,1749919.98,1794818.49,32.37
2016/10/31,11.91,13.44,12.82,11.75,2413866,1.21,10.42,14.798,18.203,18.969,2200922.85,1660526.32,1704418.11,31.31
2016/9/30,10.4,11.98,11.61,10.25,3027504,1.23,11.85,15.83,19.204,18.981,1860409.64,1544186.76,1631150.18,39.27
2016/8/31,19.64,20.67,10.38,9.4,2200365.5,-9.42,-47.58,17.844,20.264,19.014,1359418.89,1383892.96,1588484.62,28.54
2016/7/29,19.37,20.67,19.8,18.88,1579802.25,0.42,2.17,19.754,21.506,18.973,1163974.29,1319551.53,1535957.3,40.98
