date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-31,18.25,18.61,18.26,18.11,17432.76,0.19,1.05,17.87,18.334,18.93,26690.93,25297.98,36357.44,0.41
2017-05-26,18.3,18.3,18.07,18.05,16289.44,-0.16,-0.88,17.852,18.343,19.206,26642.58,25054.81,36144.82,0.39
2017-05-25,17.64,18.25,18.23,17.5,30163.68,0.74,4.23,18.026,18.374,19.482,28119.73,26863.75,36619.91,0.72
2017-05-24,17.19,17.55,17.49,16.89,26167.01,0.19,1.1,18.154,18.402,19.771,25565.15,28722.98,36051.33,0.62
2017-05-23,17.98,18.35,17.3,17.2,43401.77,-0.87,-4.79,18.458,18.542,20.109,24925.07,29814.83,35439.5,1.03
2017-05-22,18.83,18.93,18.17,18.08,17191.0,-0.77,-4.07,18.798,18.754,20.458,23905.03,29862.35,34493.47,0.41
2017-05-19,18.83,19.21,18.94,18.73,23675.19,0.07,0.37,18.834,18.935,20.804,23467.04,31246.14,34402.52,0.56
2017-05-18,18.5,18.96,18.87,18.5,17390.78,-0.14,-0.74,18.722,19.03,21.121,25607.78,32562.98,33970.42,0.41
2017-05-17,18.96,19.29,19.01,18.82,22966.6,0.01,0.05,18.65,19.143,21.445,31880.81,35163.22,34190.65,0.55
2017-05-16,18.39,19.07,19.0,18.22,38301.59,0.65,3.54,18.626,19.284,21.762,34704.59,42797.45,34178.38,0.91
2017-05-15,18.49,18.55,18.35,18.31,15001.02,-0.03,-0.16,18.71,19.525,22.095,35819.68,47416.9,33166.57,0.36
2017-05-12,18.48,18.56,18.38,18.27,34378.91,-0.13,-0.7,19.036,20.069,22.478,39025.24,47234.84,33595.8,0.82
2017-05-11,18.75,18.75,18.51,17.91,48755.95,-0.38,-2.01,19.338,20.589,22.872,39518.19,46376.07,32821.31,1.16
2017-05-10,19.39,19.5,18.89,18.86,37085.48,-0.53,-2.73,19.636,21.14,23.257,38445.63,43379.69,31953.52,0.88
2017-05-09,20.02,20.05,19.42,19.14,43877.02,-0.56,-2.8,19.942,21.676,23.623,50890.32,41064.17,31514.35,1.04
2017-05-08,19.8,20.07,19.98,19.79,31028.82,0.09,0.45,20.34,22.162,23.969,59014.12,39124.59,30826.98,0.74
2017-05-05,20.0,20.29,19.89,19.81,36843.67,-0.11,-0.55,21.102,22.673,24.282,55444.44,37558.9,30709.97,0.88
2017-05-04,20.01,20.25,20.0,19.94,43393.18,-0.42,-2.06,21.84,23.212,24.59,53233.95,35377.86,30002.09,1.03
2017-05-03,20.5,20.87,20.42,19.87,99308.9,-0.99,-4.62,22.644,23.747,24.9,48313.74,33218.08,28994.34,2.36
2017-05-02,22.8,22.8,21.41,21.41,84496.04,-2.38,-10.0,23.41,24.24,25.167,31238.01,25559.3,25161.81,2.01
2017-04-28,23.57,23.82,23.79,23.32,13180.4,0.21,0.89,23.984,24.664,25.371,19235.06,18916.23,22574.72,0.31
2017-04-27,23.97,24.05,23.58,23.25,25791.23,-0.44,-1.83,24.244,24.887,25.481,19673.35,19956.75,23150.41,0.61
2017-04-26,24.09,24.26,24.02,23.9,18792.12,-0.23,-0.95,24.584,25.154,25.617,17521.76,19266.55,22574.81,0.45
2017-04-25,24.48,24.48,24.25,24.11,13930.28,-0.03,-0.12,24.85,25.374,25.732,18122.43,20527.36,23102.09,0.33
2017-04-24,25.09,25.14,24.28,24.0,24481.27,-0.81,-3.23,25.07,25.569,25.837,19880.6,21964.54,23731.73,0.58
2017-04-21,25.18,25.34,25.09,24.97,15371.87,-0.19,-0.75,25.344,25.775,25.938,18597.4,22529.37,24397.85,0.37
2017-04-20,25.26,25.54,25.28,25.13,15033.26,-0.07,-0.28,25.53,25.891,26.006,20240.15,23861.05,25889.75,0.36
2017-04-19,25.12,25.36,25.35,25.0,21795.46,0.0,0.0,25.724,25.967,26.093,21011.35,24626.32,26427.35,0.52
2017-04-18,25.65,25.85,25.35,25.23,22721.12,-0.3,-1.17,25.898,26.053,26.165,22932.28,24770.6,26606.33,0.54
2017-04-17,25.98,25.98,25.65,25.51,18065.31,-0.37,-1.42,26.068,26.094,26.239,24048.49,24764.32,27735.75,0.43
2017-04-14,26.15,26.25,26.02,25.91,23585.62,-0.23,-0.88,26.206,26.077,26.325,26461.34,26233.22,28219.04,0.56
2017-04-13,26.22,26.36,26.25,26.12,18889.24,0.03,0.11,26.252,26.074,26.393,27481.95,26344.06,28634.04,0.45
2017-04-12,26.12,26.39,26.22,25.93,31400.12,0.02,0.08,26.21,26.08,26.432,28241.28,25883.07,28833.73,0.75
2017-04-11,26.28,26.33,26.2,25.96,28302.15,-0.14,-0.53,26.208,26.089,26.475,26608.92,25676.82,28744.74,0.67
2017-04-10,26.29,26.43,26.34,26.1,30129.59,0.09,0.34,26.12,26.105,26.514,25480.15,25498.92,29106.52,0.72
2017-04-07,26.05,26.36,26.25,26.01,28688.66,0.21,0.81,25.948,26.1,26.554,26005.09,26266.34,29007.81,0.68
2017-04-06,26.22,26.28,26.04,25.98,22685.9,-0.17,-0.65,25.896,26.121,26.621,25206.17,27918.44,28954.08,0.54
2017-04-05,25.78,26.3,26.21,25.7,23238.29,0.45,1.75,25.95,26.218,26.706,23524.86,28228.38,30119.94,0.55
2017-03-31,25.52,25.86,25.76,25.52,22658.3,0.28,1.1,25.97,26.276,26.799,24744.73,28442.07,30520.0,0.54
2017-03-30,26.01,26.06,25.48,25.42,32754.28,-0.51,-1.96,26.09,26.384,26.913,25517.69,30707.19,30586.2,0.78
2017-03-29,26.3,26.35,25.99,25.96,24694.06,-0.32,-1.22,26.252,26.573,27.046,26527.59,30204.86,32250.5,0.59
2017-03-28,26.29,26.42,26.31,26.22,14279.36,0.0,0.0,26.346,26.712,27.152,30630.71,30924.02,32204.07,0.34
2017-03-27,26.45,26.48,26.31,26.28,29337.63,-0.05,-0.19,26.486,26.784,27.235,32931.91,31784.39,32225.07,0.7
2017-03-24,26.29,26.39,26.36,26.04,26523.1,0.07,0.27,26.582,26.861,27.31,32139.41,31812.66,31638.16,0.63
2017-03-23,26.52,26.55,26.29,25.99,37803.78,-0.17,-0.64,26.678,26.923,27.395,35896.69,32714.12,31269.91,0.9
2017-03-22,26.8,26.95,26.46,26.35,45209.69,-0.55,-2.04,26.894,27.007,27.476,33882.14,31749.29,30581.01,1.07
2017-03-21,26.7,27.14,27.01,26.68,25785.33,0.22,0.82,27.078,27.12,27.559,31217.32,29989.73,29466.43,0.61
2017-03-20,26.9,26.98,26.79,26.59,25375.16,-0.05,-0.19,27.082,27.194,27.623,30636.87,32011.5,30015.98,0.6
2017-03-17,27.39,27.44,26.84,26.78,45309.5,-0.53,-1.94,27.14,27.321,27.687,31485.91,32597.92,30744.37,1.08
2017-03-16,27.33,27.5,27.37,27.28,27731.03,-0.01,-0.04,27.168,27.441,27.738,29531.55,30465.21,30658.16,0.66
2017-03-15,27.03,27.44,27.38,26.94,31885.57,0.35,1.29,27.12,27.519,27.777,29616.43,34296.13,32861.26,0.76
2017-03-14,27.11,27.12,27.03,26.9,22883.1,-0.05,-0.18,27.162,27.592,27.822,28762.13,33484.12,36304.47,0.54
2017-03-13,27.1,27.16,27.08,26.73,29620.34,0.1,0.37,27.306,27.686,27.838,33386.14,32665.75,36456.57,0.7
2017-03-10,27.33,27.33,26.98,26.8,35537.71,-0.15,-0.55,27.502,27.758,27.858,33709.94,31463.65,36038.76,0.84
2017-03-09,27.59,27.6,27.13,27.08,28155.43,-0.46,-1.67,27.714,27.866,27.884,31398.87,29825.7,35048.82,0.67
2017-03-08,27.75,27.85,27.59,27.49,27614.08,-0.16,-0.58,27.918,27.944,27.91,38975.83,29412.73,34929.06,0.66
2017-03-07,28.03,28.09,27.75,27.6,46003.13,-0.31,-1.1,28.022,27.998,27.898,38206.11,28943.14,34415.92,1.09
2017-03-06,28.05,28.08,28.06,27.86,31239.33,0.02,0.07,28.066,28.052,27.876,31945.35,28020.46,33195.12,0.74
2017-03-03,28.0,28.09,28.04,27.65,23982.4,-0.11,-0.39,28.014,28.053,27.837,29217.37,28890.81,33206.35,0.57
2017-03-02,28.19,28.56,28.15,28.1,66040.21,0.04,0.14,28.018,28.034,27.777,28252.52,30851.11,32494.05,1.57
2017-03-01,27.97,28.13,28.11,27.83,23765.48,0.14,0.5,27.97,28.035,27.724,19849.63,31426.39,29837.99,0.56
2017-02-28,27.8,27.98,27.97,27.75,14699.34,0.17,0.61,27.974,28.052,27.665,19680.18,39124.81,29413.86,0.35
2017-02-27,28.08,28.17,27.8,27.79,17599.43,-0.26,-0.93,28.038,27.989,27.607,24095.57,40247.4,29330.78,0.42
2017-02-24,27.9,28.07,28.06,27.81,19158.16,0.15,0.54,28.092,27.957,27.574,28564.24,40613.86,29323.13,0.46
2017-02-23,28.11,28.16,27.91,27.75,24025.74,-0.22,-0.78,28.05,27.902,27.517,33449.69,40271.94,29536.49,0.57
2017-02-22,28.27,28.27,28.13,28.03,22918.21,-0.16,-0.57,28.1,27.875,27.461,43003.15,40445.38,30001.88,0.54
2017-02-21,28.16,28.34,28.29,27.96,36776.33,0.22,0.78,28.13,27.798,27.385,58569.45,39888.7,29735.4,0.87
2017-02-20,27.68,28.11,28.07,27.67,39942.78,0.22,0.79,27.94,27.699,27.3,56399.22,38369.78,29376.73,0.95
2017-02-17,28.15,28.2,27.85,27.7,43585.38,-0.31,-1.1,27.822,27.621,27.233,52663.48,37521.89,29779.17,1.04
2017-02-16,28.38,28.75,28.16,27.99,71793.07,-0.12,-0.42,27.754,27.519,27.207,47094.19,34136.98,29151.36,1.71
